INCOME,FIXEDINCOME,VARIABLEINCOME,OTHERINCOME,PERSONALASSETS,RESIDENCEVALUE,LIQUIDASSETS,FINANCIALASSETS,AGE,HASLPA,HASCRITICALILLNESS,NUMBERSOURCEOFFUNDS,COMMITMENTAMOUNT,INCOMEQUALIFIED,PERSONALQUALIFIED,FINANCIALQUALIFIED
619630.54108592,126607.20190377995,493648.927712044,-625.5885299039965,1371661.2,427179.99999999994,652896.3999999999,500213.99999999994,35,False,False,3,1506898.124051816,True,False,True
640483.4919862599,253214.4038075599,297899.2985979399,89369.78958076004,369993.0,869517.9999999999,44096.0,989404.0,34,False,True,3,377570.10858124983,True,False,False
312794.26353265997,297899.29859794,14969.43975385679,-74.47481913677798,543896.6,551200.0,63801.399999999994,591988.7999999999,31,False,True,3,637011.2029333614,True,False,False
350031.67585567996,342584.19338832,7596.43211422677,-148.94964686679316,824043.9999999999,490567.99999999994,8268.0,490567.99999999994,35,False,False,2,970026.6605084678,True,False,False
403653.54960138,402164.05309964006,14.894964929208,1474.6015368107644,1026334.4,757899.9999999999,161226.0,835067.9999999999,33,False,False,2,379448.4102705728,True,False,False
372374.12324398,372374.12324398,0.0,0.0,195675.99999999997,0.0,106106.0,95082.0,32,False,True,1,130919.96782860722,True,False,False
312794.26353265997,311304.76703918795,0.0,1489.496493472017,770605.1599999999,516749.99999999994,113271.6,640770.0,35,True,False,2,457094.98771813454,True,False,False
381311.1021993,297899.29859793995,83411.80360687201,-5.511965639557216e-06,2939411.8,1102400.0,237429.4,3089475.9999999995,30,False,False,3,2884816.8838121146,True,True,True
341094.69690036,0.0,339605.2003986199,1489.496501739999,1020133.4,1033500.0,250106.99999999997,1389850.7999999998,32,False,True,1,676027.4371888957,True,False,False
372374.12324398,372374.12324398,0.0,0.0,198431.99999999997,0.0,106106.0,96460.0,32,False,False,1,170859.3731190625,True,False,False
557071.68837112,364926.64077662,192249.31234625255,-104.26475175253692,2364248.38,1102400.0,666952.0,2783560.0,33,False,False,3,2126441.67390609,True,True,False
347052.68286597996,342584.19338832,4170.590180343596,297.89929731638546,824043.9999999999,490567.99999999994,8268.0,490567.99999999994,35,True,False,2,936173.0147338588,True,False,False
1489496.4929208,1489496.4929208,1489.4964929206512,-1489.4964929206512,2868238.0999999996,0.0,222409.2,275600.0,26,False,False,2,38961.762607358105,True,True,True
381311.1021993,297899.29859793995,83411.80360687201,-5.511965639557216e-06,2938171.5999999996,1102400.0,237429.4,3088097.9999999995,30,False,False,3,1480215.0789013305,True,True,True
314283.76002061996,314283.76002061996,372.374123243959,-372.374123243959,876407.9999999999,0.0,907688.6,85436.0,34,True,True,2,586933.135413436,True,False,False
656867.95340894,633036.0095189,24129.84318625398,-297.8992962139087,609076.0,0.0,38584.0,17914.0,29,False,False,3,623256.8861822971,True,False,False
